"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3839","probable sodium:sulfate symporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14360","sodium:sulfate symporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3842","specific Pseudomonas chaperone for ExoS, SpcS","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14330","chaperone",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3844","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14290","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3845","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14280","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3847","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14250","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3849","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14220","nucleoid-associated protein NdpA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3850","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14210","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3853","probable transferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14160","acetyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3854","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14150","GIY-YIG nuclease superfamily protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3858","probable amino acid-binding protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14100","amino acid-binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3859","carboxylesterase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_14080","carboxylesterase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3865.1","pyocin S4 immunity protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13950","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3866","Pyocin S4","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13940","S-type pyocin protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3867","probable DNA invertase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_15430","resolvase, essential for transposition",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3868","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13890","integrase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3869","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13870","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3870","molybdopterin biosynthetic protein A1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13850","molybdenum cofactor biosynthesis protein A",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3872","respiratory nitrate reductase gamma chain","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13830","respiratory nitrate reductase gamma chain",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3876","nitrite extrusion protein 2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13770","nitrite extrusion protein 2",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3877","nitrite extrusion protein 1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13750","nitrite extrusion protein 1",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3878","two-component sensor NarX","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13740","two-component sensor NarX",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3879","two-component response regulator NarL","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13730","transcriptional regulator NarL",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3880","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13720","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3883","probable short-chain dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13680","short chain dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3884","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13670","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3886","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13650","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3889","OpuC ABC transporter, periplasmic substrate-binding protein, OpuCC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13600","ABC transporter substrate-binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3892","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13560","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3893","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13530","outer membrane protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3894","probable outer membrane protein precursor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13520","outer membrane protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3896","probable 2-hydroxyacid dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13500","2-hydroxyacid dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3898","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13470","AraC family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3900","FecR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13450","transmembrane sensor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3903","peptide chain release factor 3","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13410","peptide chain release factor 3",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3907","TOX-REase-5 domain-containing effector, TseT","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13360","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3908","immunity protein, TsiT","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13350","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3913","probable protease","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13290","protease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3914","molybdenum cofactor biosynthetic protein A1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13280","molybdenum cofactor biosynthetic protein A1",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3917","molybdopterin converting factor, small subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13240","molybdopterin converting factor, small subunit",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3922","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13140","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3924","probable medium-chain acyl-CoA ligase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13110","long-chain-fatty-acid--CoA ligase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3925","probable acyl-CoA thiolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13090","acyl-CoA thiolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3926","probable major facilitator superfamily (MFS) transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13070","MFS family transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3929","cyanide insensitive terminal oxidase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13040","CioB, cyanide insensitive terminal oxidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3931","putative methionine-binding protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_13010","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3934","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12980","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3935","taurine dioxygenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12970","taurine dioxygenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3938","probable periplasmic taurine-binding protein precursor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12920","taurine ABC transporter periplasmic protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3939","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12910","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3940","probable DNA binding protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12900","DNA binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3943","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12860","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3946","two-component sensor RocS1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12820","two-component sensor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3950","probable ATP-dependent RNA helicase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12760","ATP-dependent RNA helicase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3951","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12750","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3952","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12740","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3954","FMNH2-dependent monooxygenase, SfnG","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12710","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3955","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12700","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3960","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12640","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3962","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12620","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3972","probable acyl-CoA dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12450","acyl-CoA dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3973","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12440","AcrR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3975","phosphomethylpyrimidine kinase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12410","phosphomethylpyrimidine kinase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3977","glutamate-1-semialdehyde 2,1-aminomutase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12390","glutamate-1-semialdehyde aminotransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3978","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12370","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3979","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12360","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3980","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12350","(dimethylallyl)adenosine tRNA methylthiotransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3981","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12330","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3984","apolipoprotein N-acyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12280","apolipoprotein N-acyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3987","leucyl-tRNA synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12230","leucyl-tRNA synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3988","LPS-assembly lipoprotein LptE","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12210","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3990","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12180","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3992","SltB3","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12160","murein transglycosylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3995","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12140","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA3996","lipoate synthase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12130","lipoyl synthase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4002","rod shape-determining protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12070","rod shape-determining protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4003","penicillin-binding protein 2","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12060","penicillin-binding protein 2",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4005","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12030","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4006","nicotinate mononucleotide adenylyltransferase NadD1","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12020","nicotinic acid mononucleotide adenylyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4007","gamma-glutamyl phosphate reductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_12010","gamma-glutamyl phosphate reductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4009","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11980","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4010","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11970","3-methyladenine DNA glycosylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4013","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11930","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4014","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11920","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4016","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11900","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4019","UbiX","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11860","aromatic acid decarboxylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4020","UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11845","UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4022","hydrazone dehydrogenase, HdhA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11810","aldehyde dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4024","ethanolamine-ammonia lyase, large subunit, EutB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11770","ethanolamine ammonia-lyase large subunit",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4032","probable two-component response regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11680","two-component regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4033","MucE","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11670","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4037","probable ATP-binding component of ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11620","ABC transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4040","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11590","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4041","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11580","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4043","geranyltranstransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11560","geranyltranstransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4045","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11530","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4048","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11490","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4050","phosphatidylglycerophosphatase A","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11470","phosphatidylglycerophosphatase A",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA4053","6,7-dimethyl-8-ribityllumazine synthase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_11430","6,7-dimethyl-8-ribityllumazine synthase",""
